mot,score_brut,score_positivite
doux,2.2,0.55
doux-amer,-0.3,0.0
doux-amere,-0.3,0.0
drague,-0.2,0.0
draguer,0.8,0.2
dragues,0.7,0.175
dragueur,-0.4,0.0
dragueurs,-0.4,0.0
dragueuse,-0.4,0.0
dragueuses,-0.4,0.0
draguouillant,0.6,0.15
dramatique,-1.9,0.0
dramatiquement,-1.7,0.0
dramatiques,-1.9,0.0
dramatise,-1.7,0.0
dramatisent,-2.2,0.0
dramatiser,-1.0,0.0
dramatises,-1.7,0.0
dramatisez,-2.2,0.0
dramatisee,-1.7,0.0
dramatisees,-1.7,0.0
drame,-2.1,0.0
drames,-1.9,0.0
dreadlock,-0.4,0.0
dreadlocks,-0.2,0.0
drole,1.7,0.425
droles,0.7,0.175
dumbass,-2.6,0.0
dupent,-0.5,0.0
duper,-0.1,0.0
duperie,-1.9,0.0
dupes,-0.3,0.0
dupez,-0.5,0.0
dupons,-0.5,0.0
dupe,-0.3,0.0
dupee,-1.8,0.0
dupees,-0.2,0.0
dur,-0.4,0.0
dure,-0.4,0.0
dures,-0.4,0.0
durete,-0.2,0.0
duretes,0.3,0.075
durs,-0.4,0.0
dynamique,1.6,0.4
dynamiquement,1.5,0.375
dynamiques,1.2,0.3
dynamisation,1.5,0.375
dynamisations,1.2,0.3
dynamisme,1.6,0.4
dynamismes,1.2,0.3
dynamite,-0.9,0.0
dynamites,-0.9,0.0
dynamiteur,-1.2,0.0
dynamiteurs,-1.2,0.0
dynamitrice,-1.2,0.0
dynamitrices,-1.2,0.0
dynamitee,-0.9,0.0
dynamitees,-0.9,0.0
dynamometre,0.3,0.075
dynamometres,0.3,0.075
dynamometrie,0.6,0.15
dynamos,0.3,0.075
dysfonction,-1.8,0.0
dysfonctionnement,-1.8,0.0
debile,-1.1,0.0
debiles,-2.3,0.0
debilite,-1.5,0.0
debilites,-1.5,0.0
debonnaire,0.8,0.2
debonnaires,0.8,0.2
deboussole,-1.5,0.0
deboussoler,-1.5,0.0
deboussoles,-1.5,0.0
deboussolee,-1.5,0.0
debutant,-0.4,0.0
debutante,-0.4,0.0
debutantes,-0.4,0.0
debutants,-0.4,0.0
deception,-0.5,0.0
deceptions,-2.0,0.0
decevant,-2.2,0.0
decevante,-2.2,0.0
decevantes,-2.2,0.0
decevants,-2.2,0.0
decevez,-1.6,0.0
decevoir,-1.7,0.0
decevons,-1.6,0.0
dechaine,-2.4,0.0
dechainee,-2.4,0.0
dechainees,-2.4,0.0
dechaines,-2.4,0.0
dechirant,-2.0,0.0
dechirante,-2.0,0.0
dechirantes,-2.0,0.0
dechirants,-2.0,0.0
dechirement,-1.8,0.0
dechirements,-1.8,0.0
dechire,-3.3,0.0
dechiree,-3.3,0.0
dechirees,-3.3,0.0
dechires,-3.3,0.0
decisif,0.9,0.225
decisifs,0.9,0.225
decisive,0.9,0.225
decisives,0.9,0.225
decompose,-1.6,0.0
decomposer,-1.7,0.0
decomposes,-1.6,0.0
decomposition,-1.7,0.0
decompositions,-1.7,0.0
decomposee,-1.6,0.0
decomposees,-1.6,0.0
deconcerte,-1.3,0.0
deconcertee,-1.3,0.0
deconcertees,-1.3,0.0
deconcertes,-1.3,0.0
deconnecte,-0.5,0.0
deconnectee,-0.5,0.0
deconnectees,-0.5,0.0
deconnectes,-0.5,0.0
deconsterne,-1.8,0.0
deconsternes,-1.8,0.0
deconsternez,-1.8,0.0
decontracte,0.2,0.05
decontractee,0.2,0.05
decontractees,0.2,0.05
decontractes,0.2,0.05
decourage,-0.8,0.0
decourageant,-1.9,0.0
decourageante,-1.9,0.0
decouragement,-2.0,0.0
decouragements,-1.8,0.0
decourageons,-1.9,0.0
decourages,-0.8,0.0
decourageur,-1.7,0.0
decourageurs,-1.9,0.0
decourageuse,-1.7,0.0
decourageuses,-1.9,0.0
decouragez,-1.9,0.0
decouragee,-0.8,0.0
decouragees,-0.8,0.0
decousu,-1.3,0.0
decousue,-1.3,0.0
decousues,-1.3,0.0
decousus,-1.3,0.0
decrie,-1.4,0.0
decrier,-2.0,0.0
decries,-1.4,0.0
decriez,-1.6,0.0
decrions,-1.6,0.0
decriee,-1.4,0.0
decriees,-1.4,0.0
dedaigneuse,-0.9,0.0
dedaigneusement,-2.4,0.0
dedaigneuses,-1.8,0.0
dedaigneux,-0.9,0.0
dedain,-0.6,0.0
dedie,2.0,0.5
dediee,2.0,0.5
dediees,2.0,0.5
dedies,2.0,0.5
defaillant,-2.2,0.0
defaite,-2.0,0.0
defaites,-1.3,0.0
defaitisme,-1.3,0.0
defaitiste,-1.7,0.0
defaitistes,-1.7,0.0
defaut,-1.4,0.0
defauts,-1.4,0.0
defavorablement,-0.8,0.0
defection,-1.4,0.0
defections,-1.5,0.0
defectueuse,-0.7,0.0
defectueuses,-1.9,0.0
defectueux,-0.7,0.0
defend,0.7,0.175
defendable,0.8,0.2
defendables,0.8,0.2
defendent,0.7,0.175
defendre,1.6,0.4
defendrez,0.7,0.175
defendrons,0.7,0.175
defends,0.7,0.175
defense,0.4,0.1
defenses,-0.1,0.0
defenseur,0.4,0.1
defenseurs,0.4,0.1
defenseuse,0.4,0.1
defenseuses,0.4,0.1
defensif,0.1,0.025
defensifs,0.1,0.025
defensive,0.1,0.025
defensivement,-0.6,0.0
defensives,0.1,0.025
defi,0.3,0.075
defiant,-0.9,0.0
deficit,-1.7,0.0
defieur,0.5,0.125
defieurs,0.4,0.1
defieuse,0.5,0.125
defini,1.1,0.275
definie,1.1,0.275
definies,1.1,0.275
definis,1.1,0.275
definitivement,1.7,0.425
defie,-0.4,0.0
defiee,-0.4,0.0
deformant,-1.1,0.0
deformante,-1.1,0.0
deforme,-1.7,0.0
deformer,-1.3,0.0
deformes,-1.7,0.0
deformez,-1.4,0.0
deformee,-1.7,0.0
deformees,-1.7,0.0
degobille,-1.8,0.0
degobillent,-1.9,0.0
degobiller,-2.4,0.0
degobilles,-1.8,0.0
degobillez,-1.9,0.0
degobillons,-1.9,0.0
degobillee,-1.8,0.0
degobillees,-1.8,0.0
degonfle,-1.4,0.0
degonflee,-1.4,0.0
degonflees,-1.0,0.0
degonfles,-1.0,0.0
degoutant,-1.1,0.0
degoutante,-1.1,0.0
degoutantes,-1.1,0.0
degoutants,-1.1,0.0
degoute,-1.1,0.0
degouter,-2.9,0.0
degoutes,-1.1,0.0
degoutez,-2.1,0.0
degoutee,-1.1,0.0
degoutees,-1.1,0.0
degradable,-1.0,0.0
degradables,-1.0,0.0
degradation,-2.4,0.0
degradations,-2.4,0.0
degrade,-0.9,0.0
degradent,-1.1,0.0
degrader,-0.9,0.0
degrades,-0.9,0.0
degradez,-1.1,0.0
degradons,-2.1,0.0
degradee,-0.9,0.0
degradees,-0.9,0.0
degueu,-2.1,0.0
degueule,-1.8,0.0
degueulent,-1.9,0.0
degueuler,-2.4,0.0
degueules,-1.8,0.0
degueulez,-1.9,0.0
degueulis,-2.4,0.0
degueulons,-1.9,0.0
degueulee,-1.8,0.0
degueulees,-1.8,0.0
degueux,-2.1,0.0
deguisant,-1.3,0.0
deguise,-1.1,0.0
deguiser,-1.0,0.0
deguises,-1.1,0.0
deguisez,-1.0,0.0
deguisons,-1.0,0.0
deguisee,-1.1,0.0
deguisees,-1.1,0.0
degat,-2.9,0.0
dejoue,-0.1,0.0
dejouent,-0.4,0.0
dejouer,-0.1,0.0
dejoues,-0.1,0.0
dejouez,-0.4,0.0
dejouons,-0.4,0.0
dejouee,-0.1,0.0
dejouees,-0.1,0.0
delaisse,-1.9,0.0
delaissee,-1.9,0.0
delaissees,-1.9,0.0
delaisses,-1.9,0.0
delectable,2.9,0.725
delectables,2.9,0.725
delicat,-0.3,0.0
delicate,-0.3,0.0
delicatement,1.0,0.25
delicates,-0.3,0.0
delicatesse,0.6,0.15
delicatesses,0.6,0.15
delicats,-0.3,0.0
delicieuse,1.1,0.275
delicieusement,0.8,0.2
delicieuses,1.1,0.275
delicieux,1.1,0.275
delinquant,-1.5,0.0
delinquante,-1.5,0.0
delinquantes,-1.5,0.0
delinquants,-1.5,0.0
delit,-1.2,0.0
delits,-1.4,0.0
deloyal,-1.9,0.0
deloyale,-1.9,0.0
deloyaux,-1.9,0.0
demange,-1.1,0.0
demence,-2.7,0.0
dement,-2.4,0.0
dementir,-1.4,0.0
dementis,-1.4,0.0
demission,-1.2,0.0
demissionne,-1.0,0.0
demissionner,-1.4,0.0
demissionnes,-1.0,0.0
demissionnez,-1.3,0.0
demissionnons,-1.3,0.0
demissionnee,-1.0,0.0
demissionnees,-1.0,0.0
demissions,-1.2,0.0
demon,-3.4,0.0
demoniaque,-0.8,0.0
demoniaques,-1.6,0.0
demons,-1.4,0.0
demoralisant,-2.3,0.0
demoralise,-0.8,0.0
demoraliser,-2.2,0.0
demoralises,-0.8,0.0
demoralisee,-0.8,0.0
demoralisees,-0.8,0.0
denigre,-0.7,0.0
denigrer,-0.9,0.0
denigres,-1.4,0.0
denigrez,-1.6,0.0
denigrons,-1.6,0.0
denigree,-0.7,0.0
denigrees,-1.4,0.0
denonce,-1.9,0.0
denoncent,-1.9,0.0
denoncer,-1.4,0.0
denonces,-1.9,0.0
denoncez,-1.9,0.0
denoncons,-1.9,0.0
denue,-1.9,0.0
denuee,-1.9,0.0
denuees,-1.9,0.0
denues,-1.9,0.0
depannage,0.7,0.175
depanne,0.5,0.125
depannent,0.5,0.125
depanner,0.8,0.2
depannes,0.5,0.125
depannez,0.5,0.125
depannons,0.5,0.125
depasser,1.1,0.275
dependant,0.5,0.125
dependante,0.5,0.125
dependantes,0.5,0.125
dependants,0.5,0.125
depit,-0.6,0.0
depite,-0.7,0.0
depitee,-0.7,0.0
depitees,0.1,0.025
depites,0.1,0.025
deplais,-1.8,0.0
deplaisant,-2.7,0.0
deplaisante,-2.7,0.0
deplaisantes,-2.7,0.0
deplaisants,-2.7,0.0
deplaisez,-1.8,0.0
deplait,-1.8,0.0
deplorable,-1.5,0.0
deplorables,-1.5,0.0
deplorer,-1.8,0.0
deplore,-1.4,0.0
deploree,-1.4,0.0
deplorees,-1.4,0.0
deplores,-1.4,0.0
depresseur,-1.6,0.0
depresseurs,-1.6,0.0
depressif,-1.6,0.0
depression,-2.7,0.0
depressions,-2.2,0.0
depressive,-1.6,0.0
depressivement,-1.1,0.0
depressurisant,-0.7,0.0
depressurisation,-0.3,0.0
depressurisations,-0.4,0.0
depressurise,-0.3,0.0
depressuriser,-0.5,0.0
depressurises,-0.3,0.0
depressurisee,-0.3,0.0
depressurisees,-0.3,0.0
deprimant,-0.8,0.0
deprimante,-1.6,0.0
deprimantes,-1.6,0.0
deprimants,-1.6,0.0
deprime,-2.3,0.0
deprimer,-2.2,0.0
deprimes,-2.3,0.0
deprimez,-2.2,0.0
deprimons,-2.2,0.0
deprimee,-2.3,0.0
deprimees,-2.3,0.0
deraille,-1.4,0.0
derailler,-1.2,0.0
derailles,-1.4,0.0
deraillez,-1.3,0.0
deraillons,-1.3,0.0
deraillee,-1.4,0.0
deraillees,-1.4,0.0
derange,-1.9,0.0
derangeant,-2.3,0.0
derangement,-1.6,0.0
derangements,-1.4,0.0
deranger,-0.8,0.0
deranges,-1.9,0.0
derangez,-1.9,0.0
derobe,-2.2,0.0
derobee,-2.2,0.0
derobees,-2.2,0.0
derobes,-2.2,0.0
desabusant,-1.3,0.0
desabuser,-1.0,0.0
desabuse,-1.9,0.0
desabusee,-1.9,0.0
desabusees,-1.9,0.0
desabuses,-1.9,0.0
desaccord,-1.4,0.0
desaccords,-1.5,0.0
desagreable,-2.7,0.0
desagreables,-2.7,0.0
desarme,-2.0,0.0
desarmee,-2.0,0.0
desarmees,-2.0,0.0
desarmes,-2.0,0.0
desarroi,-1.8,0.0
desarrois,-1.6,0.0
desastre,-3.1,0.0
desastres,-2.6,0.0
desastreuse,-1.4,0.0
desastreusement,-2.4,0.0
desastreuses,-1.4,0.0
desastreux,-1.4,0.0
desavantage,-1.7,0.0
desavantages,-1.7,0.0
desavantageuse,-1.8,0.0
desavantageusement,-2.1,0.0
desavantageuses,-1.8,0.0
desavantageux,-1.8,0.0
desavantagee,-1.7,0.0
desavantagees,-1.7,0.0
desenchantement,-1.7,0.0
desenchantements,-1.5,0.0
desespoir,-1.3,0.0
desespoirs,-2.7,0.0
desesperance,-2.0,0.0
desesperances,-2.2,0.0
desesperant,-2.3,0.0
desesperante,-2.3,0.0
desespere,-2.7,0.0
desesperee,-2.7,0.0
desesperees,-2.7,0.0
desesperement,-0.7,0.0
desesperes,-2.7,0.0
deshumanisant,-2.4,0.0
deshumanise,-1.9,0.0
deshumanisent,-1.5,0.0
deshumaniser,-1.8,0.0
deshumanises,-1.9,0.0
deshumanisez,-1.5,0.0
deshumanisee,-1.9,0.0
deshumanisees,-1.9,0.0
desillusion,-1.7,0.0
desillusions,-1.5,0.0
desinformation,-1.3,0.0
desinforme,-1.6,0.0
desinformee,-1.6,0.0
desinformees,-1.6,0.0
desinformes,-1.6,0.0
desir,-0.1,0.0
desirable,1.3,0.325
desirer,1.7,0.425
desireuse,1.3,0.325
desireuses,1.3,0.325
desireux,1.3,0.325
desirs,0.4,0.1
desire,1.1,0.275
desiree,1.1,0.275
desirees,1.1,0.275
desires,1.1,0.275
desobligeant,-1.6,0.0
desobligeante,-1.6,0.0
desobligeantes,-1.6,0.0
desobligeants,-1.6,0.0
desolant,-2.2,0.0
desolante,-2.2,0.0
desolantes,-2.2,0.0
desolants,-2.2,0.0
desole,-0.3,0.0
desolee,-0.3,0.0
desolees,-0.3,0.0
desoles,-0.3,0.0
desordre,-0.8,0.0
desorganise,-1.2,0.0
desorganisee,-1.2,0.0
desorganisees,-1.2,0.0
desorganises,-1.2,0.0
desoriente,-1.5,0.0
desorientee,-1.5,0.0
desorientees,-1.5,0.0
desorientes,-1.5,0.0
desuet,-1.2,0.0
desuets,-1.2,0.0
desuete,-1.2,0.0
desuetes,-1.2,0.0
detache,-0.2,0.0
detachee,-0.2,0.0
detachees,-0.2,0.0
detaches,-0.2,0.0
detend,1.5,0.375
detendent,1.5,0.375
detendez,1.5,0.375
detendons,1.5,0.375
detendre,1.9,0.475
detends,1.5,0.375
detendu,0.4,0.1
detendue,0.4,0.1
detendues,2.2,0.55
detendus,2.2,0.55
detenir,-1.8,0.0
detente,2.0,0.5
detention,-1.5,0.0
detenu,-1.7,0.0
detenue,-1.7,0.0
detenues,-1.7,0.0
detenus,-1.7,0.0
determinabilite,0.2,0.05
determinable,0.9,0.225
determinables,0.9,0.225
determinant,0.2,0.05
determinante,0.2,0.05
determinantes,0.2,0.05
determinants,0.2,0.05
determination,0.2,0.05
determinations,0.3,0.075
determiner,0.8,0.2
determine,1.1,0.275
determinee,1.1,0.275
determinees,1.1,0.275
determines,1.1,0.275
detestable,-1.0,0.0
detestables,-1.0,0.0
detestant,-2.3,0.0
deteste,-0.6,0.0
detestement,-3.1,0.0
detestements,-2.9,0.0
detester,-0.5,0.0
detestes,-0.8,0.0
detestez,-0.8,0.0
detestons,-0.8,0.0
detestee,-0.8,0.0
detestees,-0.8,0.0
detresse,-1.2,0.0
detresses,-2.7,0.0
detruire,-2.5,0.0
detruis,-2.6,0.0
detruisant,-2.6,0.0
detruisent,-2.6,0.0
detruisez,-2.6,0.0
detruit,-1.1,0.0
detruite,-2.2,0.0
detruites,-2.2,0.0
detruits,-2.2,0.0
deteriorant,-2.0,0.0
deteriore,-1.9,0.0
deteriorent,-2.1,0.0
deteriorer,-2.3,0.0
deteriores,-1.9,0.0
deteriorez,-2.1,0.0
deteriorons,-2.1,0.0
deterioree,-1.9,0.0
deteriorees,-1.9,0.0
devale,-0.6,0.0
devaler,-0.3,0.0
devales,-0.6,0.0
devalez,-1.0,0.0
devalorise,-0.8,0.0
devalorisent,-1.1,0.0
devaloriser,-0.8,0.0
devalorises,-0.8,0.0
devalorisez,-1.1,0.0
devalorisons,-1.1,0.0
devalorisee,-0.8,0.0
devalorisees,-0.8,0.0
devalee,-0.6,0.0
devalees,-0.6,0.0
devastateur,-3.3,0.0
devastateurs,-3.3,0.0
devastation,-0.9,0.0
devastations,-1.9,0.0
devastatrice,-3.3,0.0
devastatrices,-3.3,0.0
devaste,-3.0,0.0
devaster,-3.1,0.0
devastes,-3.0,0.0
devastez,-2.8,0.0
devastee,-3.0,0.0
devastees,-3.0,0.0
devergondee,-2.2,0.0
devergondees,-2.2,0.0
devotement,1.6,0.4
devotion,1.8,0.45
devotions,1.8,0.45
devoue,1.7,0.425
devouement,2.0,0.5
devouements,0.6,0.15
devouer,1.4,0.35
devoues,1.7,0.425
devouez,1.6,0.4
devouons,1.6,0.4
devouee,1.7,0.425
devouees,1.7,0.425
decois,-1.6,0.0
decoit,-1.6,0.0
decu,-0.7,0.0
decue,-0.7,0.0
decues,-2.1,0.0
decus,-2.1,0.0
ecstasy,1.4,0.35
eden,3.2,0.8
effacer,-2.9,0.0
efface,-2.1,0.0
effacee,-2.1,0.0
effacees,-2.1,0.0
effaces,-2.1,0.0
efficace,2.1,0.525
efficacement,1.9,0.475
efficaces,2.1,0.525
efficacite,1.5,0.375
efficacites,1.6,0.4
effondrer,-2.2,0.0
effondre,-1.1,0.0
effondree,-1.1,0.0
effraie,-0.7,0.0
effraient,-1.4,0.0
effraies,-0.7,0.0
effrayant,-0.6,0.0
effraye,-0.9,0.0
effrayent,-1.4,0.0
effrayer,-0.7,0.0
effrayes,-0.9,0.0
effrayez,-0.7,0.0
effrayee,-0.9,0.0
effrayees,-0.9,0.0
effroi,-0.8,0.0
effrois,-0.6,0.0
effronte,-1.4,0.0
effrontee,-1.4,0.0
effrontees,-1.4,0.0
effrontes,-1.4,0.0
effroyablement,-3.3,0.0
emballe,2.0,0.5
emballer,2.0,0.5
emballes,2.0,0.5
emballez,1.7,0.425
emballons,1.7,0.425
emballee,2.0,0.5
emballees,2.0,0.5
embarras,-1.9,0.0
embarrassable,-1.6,0.0
embarrassant,-0.3,0.0
embarrasse,-1.5,0.0
embarrasser,-1.2,0.0
embarrasses,-1.5,0.0
embarrassez,-1.7,0.0
embarrassons,-1.7,0.0
embarrassee,-1.5,0.0
embarrassees,-1.5,0.0
embelli,2.1,0.525
embellie,2.1,0.525
embellir,2.3,0.575
embellis,1.8,0.45
embellissant,2.3,0.575
embellissement,1.9,0.475
embellissements,2.4,0.6
embellit,1.8,0.45
embrassable,2.0,0.5
embrassables,2.0,0.5
embrasse,1.6,0.4
embrasser,1.8,0.45
embrasses,1.6,0.4
embrasseur,1.7,0.425
embrasseurs,1.5,0.375
embrasseuse,1.7,0.425
embrasseuses,1.5,0.375
embrassez,2.3,0.575
embrassee,1.6,0.4
embrassees,1.6,0.4
embrouillant,-0.9,0.0
embrouille,-1.3,0.0
embrouiller,-0.9,0.0
embrouilles,-1.3,0.0
embrouillee,-1.3,0.0
embrouillees,-1.3,0.0
embetant,-1.0,0.0
embetante,-1.0,0.0
embetantes,-1.0,0.0
embetants,-1.0,0.0
emmerdeur,-2.6,0.0
emmerdeurs,-2.6,0.0
emmerdeuse,-2.6,0.0
emmerdeuses,-2.6,0.0
empathique,1.7,0.425
empathiques,1.7,0.425
empester,-2.4,0.0
empeste,-2.0,0.0
empestee,-2.0,0.0
empestees,-2.0,0.0
empestes,-2.0,0.0
empirant,-2.0,0.0
empire,-1.9,0.0
empirent,-2.1,0.0
empirer,-2.3,0.0
empires,-1.9,0.0
empirez,-2.1,0.0
empirons,-2.1,0.0
empiree,-1.9,0.0
empirees,-1.9,0.0
empoisonne,-2.2,0.0
empoisonnement,-2.8,0.0
empoisonnements,-2.4,0.0
empoisonnent,-2.7,0.0
empoisonner,-2.5,0.0
empoisonnes,-2.2,0.0
empoisonneur,-2.7,0.0
empoisonneurs,-3.1,0.0
empoisonneuse,-2.7,0.0
empoisonneuses,-3.1,0.0
empoisonnez,-2.7,0.0
empoisonnons,-2.7,0.0
empoisonnee,-2.2,0.0
empoisonnees,-2.2,0.0
empressement,0.6,0.15
emprisonne,-2.0,0.0
emprisonnee,-2.0,0.0
emprisonnees,-2.0,0.0
emprisonnes,-2.0,0.0
en colere,-2.2,0.0
encenser,2.6,0.65
enchante,1.6,0.4
enchantee,1.6,0.4
enchantees,1.6,0.4
enchantes,1.6,0.4
encourageant,1.1,0.275
encourageante,2.5,0.625
encouragement,1.8,0.45
encouragements,2.1,0.525
encourager,1.1,0.275
encourage,0.8,0.2
encouragee,0.8,0.2
encouragees,0.8,0.2
encourages,0.8,0.2
encrasse,-0.7,0.0
encrassee,-0.7,0.0
encrassees,-0.7,0.0
encrasses,-0.7,0.0
enculard,-3.1,0.0
encularde,-3.1,0.0
enculardes,-3.1,0.0
enculards,-3.1,0.0
enculer,-3.1,0.0
encule,-2.6,0.0
enculee,-2.8,0.0
enculees,-3.6,0.0
encules,-3.6,0.0
endoctrinant,-0.7,0.0
endoctrine,-0.4,0.0
endoctrinent,-0.6,0.0
endoctriner,-1.4,0.0
endoctrinez,-0.6,0.0
endoctrinee,-0.4,0.0
endoctrinees,-0.4,0.0
endoctrines,-0.4,0.0
endommage,-0.9,0.0
endommageant,-2.0,0.0
endommagent,-1.9,0.0
endommager,-0.9,0.0
endommages,-0.9,0.0
endommagez,-1.9,0.0
endommagee,-0.9,0.0
endommagees,-0.9,0.0
endormi,-1.7,0.0
endormie,-1.7,0.0
endormies,-1.7,0.0
endormis,-1.7,0.0
endurance,1.2,0.3
enfantin,-1.2,0.0
enfantine,-1.2,0.0
enfantines,-1.2,0.0
enfantins,-1.2,0.0
enfer,-3.6,0.0
enflamme,-1.4,0.0
enflammee,-1.4,0.0
enflammees,-1.4,0.0
enflammes,-1.4,0.0
enflure,-3.2,0.0
enflures,-3.2,0.0
enfoire,-3.6,0.0
enfoiree,-3.6,0.0
enfoirees,-3.6,0.0
enfoires,-3.6,0.0
enfreignent,-2.3,0.0
enfreignez,-2.3,0.0
enfreignons,-2.3,0.0
enfreindre,-2.2,0.0
enfreins,-2.3,0.0
enfreint,-1.1,0.0
enfreinte,-2.4,0.0
enfreintes,-2.4,0.0
enfreints,-2.4,0.0
engage,0.3,0.075
engageant,0.1,0.025
engagement,0.8,0.2
engagements,0.2,0.05
engages,0.3,0.075
engagee,0.3,0.075
engagees,0.3,0.075
engouement,-0.6,0.0
engourdi,-0.9,0.0
engourdie,-0.9,0.0
engourdies,-0.9,0.0
engourdis,-0.9,0.0
engourdissement,-1.1,0.0
engueuler,-1.7,0.0
enjoliveur,1.7,0.425
enjoliveurs,1.7,0.425
enjoliveuse,1.7,0.425
enjoliveuses,1.7,0.425
enjoue,0.6,0.15
enjouee,0.6,0.15
enjouees,0.6,0.15
enjoues,0.6,0.15
enlace,2.2,0.55
enlacent,2.2,0.55
enlacer,1.1,0.275
enlaces,2.2,0.55
enlacez,2.2,0.55
enlacons,2.2,0.55
enleve,-2.3,0.0
enlevee,-2.3,0.0
enlevement,-2.8,0.0
enlevements,-2.0,0.0
ennemi,-2.5,0.0
ennemis,-2.2,0.0
ennui,-0.4,0.0
ennuie,-1.8,0.0
ennuies,-1.8,0.0
ennuis,-0.6,0.0
ennuyant,-1.7,0.0
ennuyante,-1.7,0.0
ennuyer,-1.9,0.0
ennuyeur,-2.2,0.0
ennuyeurs,-1.5,0.0
ennuyeuse,-2.2,0.0
ennuyeuses,-1.5,0.0
ennuye,-0.6,0.0
ennuyee,-0.6,0.0
enrage,-0.8,0.0
enrageant,-2.8,0.0
enrageante,-2.8,0.0
enrageantes,-2.8,0.0
enrageants,-2.8,0.0
enragent,-2.1,0.0
enrageons,-0.9,0.0
enrager,-1.3,0.0
enrages,-0.8,0.0
enragez,-0.9,0.0
enragee,-0.8,0.0
enragees,-0.8,0.0
enrichi,1.9,0.475
enrichie,1.9,0.475
enrichies,1.9,0.475
enrichis,1.9,0.475
ensoleillement,2.2,0.55
ensoleille,1.8,0.45
ensoleillee,1.8,0.45
ensoleillees,1.8,0.45
ensoleilles,1.8,0.45
entaille,-0.9,0.0
entaillent,-0.8,0.0
entailler,-1.1,0.0
entailles,-0.9,0.0
entaillez,-0.8,0.0
entaillee,-0.9,0.0
entaillees,-0.9,0.0
enterrement,-1.5,0.0
enterrements,-1.6,0.0
enthousiasme,2.0,0.5
enthousiasmer,1.6,0.4
enthousiasmes,2.0,0.5
enthousiasmee,2.0,0.5
enthousiasmees,2.0,0.5
enthousiaste,0.8,0.2
enthousiastes,0.7,0.175
entiche,0.2,0.05
entichee,0.2,0.05
entichees,0.2,0.05
entiches,0.2,0.05
entonnoir,0.5,0.125
entrain,1.2,0.3
entrave,-0.8,0.0
entraves,-1.6,0.0
entreprenant,2.3,0.575
entreprenante,2.3,0.575
entreprenantes,2.3,0.575
entreprenants,2.3,0.575
entete,-1.7,0.0
entetee,-1.7,0.0
entetees,-1.7,0.0
entetes,-1.7,0.0
envie,-0.1,0.0
envies,0.4,0.1
envieuse,-1.1,0.0
envieuses,-1.1,0.0
envieux,-1.1,0.0
erreur,-0.7,0.0
erreurs,-0.7,0.0
errone,-0.4,0.0
erronee,-0.4,0.0
erronees,-1.8,0.0
erronement,-1.2,0.0
errones,-0.4,0.0
esclavage,-3.8,0.0
escroc,-0.5,0.0
escrocs,-0.7,0.0
escroque,-2.8,0.0
escroquent,-2.8,0.0
escroquer,-2.7,0.0
escroquerie,-2.7,0.0
escroqueries,-2.8,0.0
escroques,-2.8,0.0
escroquez,-2.8,0.0
espiegle,-0.8,0.0
espieglerie,-2.8,0.0
espiegles,-0.8,0.0
espoir,1.9,0.475
espoirs,1.8,0.45
esprit,0.7,0.175
espere,1.6,0.4
esperent,0.9,0.225
esperes,1.6,0.4
esperant,1.8,0.45
esperer,1.9,0.475
esperez,1.8,0.45
esperons,1.8,0.45
esperee,1.6,0.4
esperees,1.6,0.4
estheticienne,1.2,0.3
estheticiennes,0.4,0.1
estime,0.9,0.225
estimee,0.9,0.225
estimees,0.9,0.225
estimes,0.9,0.225
euphorie,0.8,0.2
euphorique,0.8,0.2
euphoriques,1.7,0.425
exactement,1.9,0.475
exagere,-0.4,0.0
exageres,-0.4,0.0
exagerant,-0.7,0.0
exageration,-0.7,0.0
exagerations,-0.7,0.0
exagerer,-0.6,0.0
exagerez,-0.6,0.0
exageree,-0.4,0.0
exagerees,-0.4,0.0
exaltation,1.5,0.375
exalte,3.0,0.75
exaltee,3.0,0.75
exaltees,3.0,0.75
exaltes,3.0,0.75
exasperer,-2.2,0.0
exaspere,-1.8,0.0
exasperee,-1.8,0.0
exasperees,-1.8,0.0
exasperes,-1.8,0.0
excellant,2.5,0.625
excelle,2.2,0.55
excellence,3.1,0.775
excellences,2.5,0.625
excellent,2.7,0.675
excellents,3.1,0.775
exceller,2.0,0.5
excelles,2.2,0.55
excellez,2.5,0.625
excellons,2.5,0.625
excellee,2.2,0.55
excellees,2.2,0.55
exceptionnelle,3.0,0.75
exceptionnelles,3.0,0.75
exceptionnels,1.5,0.375
excitabilite,1.0,0.25
excitable,1.5,0.375
excitables,1.5,0.375
excitant,0.9,0.225
excitante,1.8,0.45
excitantes,1.8,0.45
excitants,1.8,0.45
excitation,0.8,0.2
excitations,1.8,0.45
excite,1.4,0.35
excitement,2.2,0.55
excitements,1.9,0.475
excites,1.4,0.35
excitez,2.1,0.525
excitee,1.4,0.35
excitees,1.4,0.35
exclu,-1.4,0.0
exclue,-1.4,0.0
exclues,-1.4,0.0
exclure,-0.9,0.0
exclus,-1.4,0.0
exclusif,0.5,0.125
exclusifs,0.5,0.125
exclusion,-1.2,0.0
exclusive,0.5,0.125
exclusives,0.5,0.125
excuse,0.2,0.05
excusent,1.2,0.3
excuser,1.3,0.325
excuses,0.9,0.225
excusez,1.2,0.3
excusons,1.2,0.3
excusee,0.2,0.05
excusees,0.9,0.225
exempter,0.4,0.1
exhaustif,-0.3,0.0
